Occupation,Career Pathway,OnetTitle,OnetDescription,Annual Wage - Pct10,Annual Wage - Pct25,Annual Wage - Median,Annual Wage - Pct75,Annual Wage - Pct90,Hourly Wage - Pct10,Hourly Wage - Pct25,Hourly Wage - Median,Hourly Wage - Pct75,Hourly Wage - Pct90,WageYear,BrightOutlook,EducationLevel_1,EducationLevel_2,EducationLevel_3,EducationLevel_4,EducationLevel_5,EducationLevel_6,EducationLevel_7,EducationCode,EducationTitle,ExperienceCode,ExperienceTitle,TrainingCode,TrainingTitle,EducationOccupationTitle
Business Intelligence Analysts,Information Support and Services,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,44810,54300,64250,98980,138330,21.55,26.11,30.89,47.59,66.51,2019,Bright,.1,1.7,6,4.2,37.5,36,14.5,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Data Scientists and Mathematical Science Occupations, All Other"
"Computer Occupations, All Other",Information Support and Services,"Computer Occupations, All Other",All computer occupations not listed separately.,31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Computer Systems Engineers/Architects,Information Support and Services,Computer Systems Engineers/Architects,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Computer User Support Specialists,Information Support and Services,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",30040,36570,46970,61660,79350,14.44,17.58,22.58,29.64,38.15,2019,Bright,.8,9.9,25.2,15.5,37,10.7,1,6,"Some college, no degree",3,No work experience,6,No on-the-job training,Computer User Support Specialists
Data Warehousing Specialists,Information Support and Services,Data Warehousing Specialists,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",45430,63700,90230,116170,134290,21.84,30.62,43.38,55.85,64.56,2019,Bright,.5,4.5,12,8.2,46.9,25.2,2.7,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Database Administrators and Architects
Document Management Specialists,Information Support and Services,Document Management Specialists,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Geographic Information Systems Technologists and Technicians,Information Support and Services,Geographic Information Systems Technologists and Technicians,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Information Technology Project Managers,Information Support and Services,Information Technology Project Managers,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",31020,45760,71250,98880,123080,14.91,22,34.26,47.54,59.17,2019,Bright,.9,7.2,16.5,9.7,43.6,20,2.2,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Computer Occupations, All Other"
Project Management Specialists,Information Support and Services,Project Management Specialists,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",31390,41910,61040,86700,115420,15.09,20.15,29.35,41.68,55.49,2019,Bright,1,6.8,14.9,7.2,43.5,23.3,3.3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,"Project Management Specialists and Business Operations Specialists, All Other"
Search Marketing Strategists,Information Support and Services,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",28470,39280,54790,75500,108350,13.69,18.88,26.34,36.3,52.09,2019,Bright,.5,5,10.3,4.3,53.9,23,3,3,Bachelor's degree,3,No work experience,6,No on-the-job training,Market Research Analysts and Marketing Specialists
