,School Name,School State,Degree Type,Program Cost,Annual Cost,Total Cost
449506,SABER College,FL,2,19233,,19233
459310,Future-Tech Institute,FL,1,,11429,11429
459329,Fred K Marchman Technical College,FL,1,8557,,8557
482459,DeVry University-Florida,FL,3,,31391,125564
487393,Florida Career College-West Palm Beach,FL,1,34445,,34445
487409,Florida Career College-Hialeah,FL,1,34606,,34606
487436,Florida Career College-Jacksonville,FL,1,35778,,35778
486239,San Ignacio University,FL,2,,16533,33066
490559,Gwinnett Institute,FL,1,19013,,19013
482936,Florida Polytechnic University,FL,3,,20689,82756
484039,McDougle Technical  Institute,FL,1,22532,,22532
483470,More Tech Institute,FL,1,22694,,22694
484473,University of Florida-Online,FL,3,,17405,69620
483869,InterAmerican Technical Institute,FL,1,24867,,24867
461306,D A Dorsey Technical College,FL,1,5420,,5420
476939,Florida Vocational Institute,FL,1,30786,,30786
460190,Concorde Career Institute-Orlando,FL,1,27045,,27045
460783,Remington College-Heathrow Campus,FL,1,,21529,21529
455479,Fortis Institute-Pensacola,FL,1,,28835,28835
457129,Chamberlain University-Florida,FL,3,,30279,121116
456490,Polytechnic University of Puerto Rico-Orlando,FL,3,,21431,85724
449083,College of Business and Technology-Main Campus,FL,1,,18552,18552
451103,Miami Regional University,FL,2,30453,,30453
444370,American Advanced Technicians Institute,FL,1,27361,,27361
262129,New College of Florida,FL,3,,20624,82496
439686,International Training Careers,FL,1,25530,,25530
434469,New Professions Technical Institute,FL,1,25093,,25093
434539,City College-Miami,FL,2,,26030,52060
132693,Eastern Florida State College,FL,2,,10133,20266
132709,Broward College,FL,2,,13429,26858
132879,Johnson University Florida,FL,3,,22322,89288
132903,University of Central Florida,FL,3,,21034,84136
132976,Charlotte Technical College,FL,1,,15710,15710
133669,Florida Atlantic University,FL,3,,19559,78236
135726,University of Miami,FL,3,,65298,261192
133960,The College of the Florida Keys,FL,2,,18506,37012
133979,Florida Memorial University,FL,3,,26552,106208
134079,Florida Southern College,FL,3,,49296,197184
136233,Northwest Florida State College,FL,2,,11774,23548
136303,Orange Technical College-Orlando Campus,FL,1,17225,,17225
136330,Palm Beach Atlantic University,FL,3,,45037,180148
136400,Pasco-Hernando State College,FL,2,,10760,21520
136473,Pensacola State College,FL,2,,9495,18990
136516,Polk State College,FL,2,,12682,25364
136659,Radford M Locklin Technical College,FL,1,14869,,14869
136826,Robert Morgan Educational Center and Technical College,FL,1,13714,,13714
134130,University of Florida,FL,3,,21034,84136
